problem_id,task_id,problem_label,problem_complexity,ast_depth,branch_count,loop_count,function_count,control_flow_ratio,functional_pass_rate,ssi,pssi,sds,structural_variance
humaneval_087,HumanEval/87,HE-87,14.280940733333333,10.053333333333333,1.1333333333333333,2.0533333333333332,1.0,0.04094073333333333,1.0,0.8744343598510399,0.5210079602585921,0.4019303747685075,0.06021119023072444
humaneval_088,HumanEval/88,HE-88,11.26395456,8.053333333333333,2.1066666666666665,0.02666666666666667,1.0,0.07728789333333334,1.0,0.786408522225652,0.6990806299541678,0.5874645077339727,0.09507804092970669
humaneval_089,HumanEval/89,HE-89,16.533050066666664,12.493333333333334,2.026666666666667,0.88,1.0933333333333333,0.03971673333333334,1.0,0.7435194800423004,0.8330405866977767,0.9391780997166675,0.26789828995180637
humaneval_090,HumanEval/90,HE-90,13.890880133333333,8.533333333333333,3.533333333333333,0.7466666666666667,1.0,0.0775468,1.0,0.7811546929338962,1.3250452995454733,0.9591429623528965,0.1945569631649825
humaneval_091,HumanEval/91,HE-91,13.76786232,9.573333333333334,2.026666666666667,1.1066666666666667,1.0,0.06119565333333334,1.0,0.7765110864825784,1.1279444359487878,0.8434816708297773,0.20935957099642788
humaneval_092,HumanEval/92,HE-92,12.516052133333332,9.2,2.013333333333333,0.14666666666666667,1.1066666666666667,0.04938546666666667,0.92,0.7200874495719508,1.0728988439743183,0.8771695305657169,0.24583217501421908
humaneval_093,HumanEval/93,HE-93,16.872829466666666,11.48,3.08,1.12,1.1466666666666667,0.0461628,0.9066666666666666,0.5760098590768848,1.091244157673642,1.1077288831743888,0.3166069838585089
humaneval_094,HumanEval/94,HE-94,20.63684102666667,9.933333333333334,6.066666666666666,2.533333333333333,2.0,0.10350769333333333,1.0,0.7592944196267415,1.2279265642736243,0.9321877368370415,0.2802115520092717
humaneval_095,HumanEval/95,HE-95,15.443368880000001,9.48,4.08,0.8,1.0,0.08336887999999999,1.0,0.6834636221212861,1.8107894558350115,1.3523722019139326,0.46235469466968143
humaneval_096,HumanEval/96,HE-96,16.233841560000002,10.546666666666667,2.6533333333333333,1.6266666666666667,1.3333333333333333,0.07384156,1.0,0.7871904685761265,1.7535945226717284,1.3417872358119245,0.42725188825078514
humaneval_097,HumanEval/97,HE-97,9.020288106666667,7.8133333333333335,0.10666666666666667,0.06666666666666667,1.0,0.03362144,0.8,0.8797982670229121,0.568391922774653,0.5222567857638309,0.06422459322579437
humaneval_098,HumanEval/98,HE-98,11.79921624,8.76,1.12,0.8666666666666667,1.0,0.052549573333333335,1.0,0.7923018707650179,1.0746178993835453,0.7896406021224278,0.18382323977462708
humaneval_099,HumanEval/99,HE-99,13.671717733333335,9.186666666666667,3.2933333333333334,0.12,1.0,0.07171773333333333,1.0,0.7046955352077353,0.9258337250596419,0.9227282109755707,0.2323506111163116
humaneval_100,HumanEval/100,HE-100,10.614620239999999,8.08,0.7733333333333333,0.68,1.0266666666666666,0.054620239999999994,1.0,0.8333577487734726,0.662760256609542,0.5315407166625835,0.0962747939520555
humaneval_101,HumanEval/101,HE-101,10.8028602,8.746666666666666,0.9066666666666666,0.08,1.0,0.06952686666666667,0.7866666666666666,0.8066988710326056,0.8401477710818951,0.6291767197470558,0.1286370307359539
humaneval_102,HumanEval/102,HE-102,12.799674986666668,7.92,3.6133333333333333,0.14666666666666667,1.0,0.11967498666666666,1.0,0.8307619621478441,0.5727894686202761,0.5187521605779801,0.10261584951065263
humaneval_103,HumanEval/103,HE-103,11.017836613333333,8.36,1.56,0.04,1.0,0.057836613333333335,0.6,0.8129016244341173,0.4465668951829773,0.43459236945072693,0.05665826741531127
humaneval_104,HumanEval/104,HE-104,14.859519506666665,10.213333333333333,1.88,1.2266666666666666,1.4666666666666666,0.07285284,1.0,0.8085712202537446,1.685035071032092,1.2419792396430291,0.40173790606677945
humaneval_105,HumanEval/105,HE-105,10.113543946666667,8.44,0.44,0.21333333333333335,1.0,0.020210613333333332,1.0,0.8684323269790096,0.6797659655714418,0.5018937331896293,0.10694928239946931
humaneval_106,HumanEval/106,HE-106,14.478559066666667,9.96,1.6,1.7333333333333334,1.1333333333333333,0.0518924,0.6266666666666667,0.7765414860457718,1.492295302460689,1.0790781541410313,0.4207555112237315
humaneval_107,HumanEval/107,HE-107,13.818620440000002,9.133333333333333,2.2,0.9333333333333333,1.4933333333333334,0.058620439999999996,1.0,0.8406815592644002,0.980636286334732,0.8025280238966377,0.18686553424256255
humaneval_108,HumanEval/108,HE-108,16.951992173333334,10.24,3.2266666666666666,1.4933333333333334,1.9333333333333333,0.05865884,0.8533333333333334,0.6334357691214988,1.0848690412956612,1.0082662731030154,0.291282247706832
humaneval_109,HumanEval/109,HE-109,15.107341640000001,10.066666666666666,2.973333333333333,0.9866666666666667,1.0,0.08067497333333333,1.0,0.8052153845318653,0.6893343750835044,0.6483981035708132,0.13398954332399612
humaneval_110,HumanEval/110,HE-110,11.877612546666667,9.84,1.0,0.0,1.0,0.03761254666666666,1.0,0.891714217987779,0.3663553038716214,0.3030506501591345,0.023918696613786764
humaneval_111,HumanEval/111,HE-111,12.658572000000001,8.985714285714286,1.7857142857142858,0.8285714285714286,1.0,0.058572,1.0,0.884119820732192,0.5430649122656676,0.3777789919559796,0.06550246622526147
humaneval_112,HumanEval/112,HE-112,10.54470824,8.866666666666667,0.38666666666666666,0.26666666666666666,1.0,0.02470824,1.0,0.8709975266437807,0.695605950119818,0.5462101008246844,0.10547976153608574
humaneval_113,HumanEval/113,HE-113,14.348054893333334,11.72,0.4266666666666667,1.12,1.0533333333333332,0.028054893333333334,0.96,0.8124354641496582,0.626779473319305,0.5387301239253287,0.19838350474960262
humaneval_114,HumanEval/114,HE-114,11.667243560000001,7.786666666666667,1.8133333333333332,1.0133333333333334,1.0,0.05391022666666667,1.0,0.7425799144186426,0.6485640583601943,0.6113641904993636,0.0904754997204673
humaneval_115,HumanEval/115,HE-115,12.395496106666666,9.16,1.24,0.9466666666666667,1.0,0.04882944,0.92,0.8054299121447844,0.9205944099434378,0.7442499404992095,0.1323981625254309
humaneval_116,HumanEval/116,HE-116,13.41104032,11.586666666666666,0.4,0.08,1.3066666666666666,0.03770698666666667,0.92,0.803597377750854,0.9042346293444753,0.8818659933321064,0.31422655963121876
humaneval_117,HumanEval/117,HE-117,16.454539679999996,11.08,2.76,1.5466666666666666,1.0,0.06787301333333334,1.0,0.8682308464594991,1.1743411899902962,0.8812941606334325,0.1879714959150686
humaneval_118,HumanEval/118,HE-118,14.60143916,10.2,2.1733333333333333,1.12,1.0533333333333332,0.05477249333333333,1.0,0.7107669759122879,0.8548532828250731,0.7689696954563292,0.19968335412713656
humaneval_119,HumanEval/119,HE-119,15.443345293333332,8.573333333333334,3.546666666666667,1.1066666666666667,2.1333333333333333,0.08334529333333333,1.0,0.6744140797187953,1.0736273858080156,0.9727710156124317,0.2817254667132944
humaneval_120,HumanEval/120,HE-120,11.736740266666667,8.64,1.6533333333333333,0.3333333333333333,1.04,0.0700736,0.9866666666666667,0.7175288796071552,1.186769809874758,0.9503444250457392,0.306761225794422
humaneval_121,HumanEval/121,HE-121,12.454902946666666,9.786666666666667,1.0,0.6266666666666667,1.0,0.04156961333333333,1.0,0.8894543554829792,1.3447807869616952,0.962145603688579,0.21502327772139831
humaneval_122,HumanEval/122,HE-122,12.249916573333334,8.693333333333333,1.76,0.7466666666666667,1.0,0.04991657333333333,0.96,0.7531553555183931,0.9866759352536366,0.7817287190701522,0.15764592101890998
humaneval_123,HumanEval/123,HE-123,13.656796986666668,9.04,2.546666666666667,1.0133333333333334,1.0,0.05679698666666667,1.0,0.8313475991945046,0.38836501460609746,0.3550828330198512,0.028642572856060533
humaneval_124,HumanEval/124,HE-124,19.73276168,9.346666666666666,9.2,0.09333333333333334,1.0,0.09276168,1.0,0.7027543269112269,1.2674920170684973,0.9659460737477547,0.22351299453193896
humaneval_125,HumanEval/125,HE-125,17.64574284,12.2,3.6666666666666665,0.6933333333333334,1.0,0.08574284,1.0,0.7941219570373031,1.330451710103124,1.0571745126269125,0.2515600954558796
humaneval_126,HumanEval/126,HE-126,15.374691533333335,9.4,3.2,1.68,1.0,0.09469153333333334,0.8533333333333334,0.6360023683482293,1.3311102294137405,1.1060093163556366,0.3011926923354071
humaneval_127,HumanEval/127,HE-127,15.311424306666668,8.72,4.266666666666667,1.0533333333333332,1.1866666666666668,0.08475764000000001,0.64,0.741509975818341,1.0951242223851707,1.006287723973548,0.26712996680484663
humaneval_128,HumanEval/128,HE-128,14.108213266666665,8.493333333333334,3.533333333333333,1.0,1.0,0.0815466,1.0,0.7988972601180638,0.5596628886951377,0.4887525245638231,0.05748211047915036
